,ort,plz,bundesland,latitude,longitude,demand
589,Moers,47445,Nordrhein-Westfalen,51.49239995,6.605817512347767,295
590,Moers,47447,Nordrhein-Westfalen,51.4269411,6.639290634593417,269
591,Möhnesee,59519,Nordrhein-Westfalen,51.50348565,8.15448569811528,252
592,Mönchengladbach,41061,Nordrhein-Westfalen,51.1943408,6.433352978493501,230
593,Mönchengladbach,41063,Nordrhein-Westfalen,51.21227460000001,6.424841561746818,179
594,Mönchengladbach,41065,Nordrhein-Westfalen,51.1811599,6.444388233271518,232
595,Mönchengladbach,41066,Nordrhein-Westfalen,51.2310828,6.4721035499999955,272
596,Mönchengladbach,41068,Nordrhein-Westfalen,51.2023193,6.391345281926703,243
597,Mönchengladbach,41069,Nordrhein-Westfalen,51.17754275,6.4099050602325605,239
598,Mönchengladbach,41169,Nordrhein-Westfalen,51.206280299999996,6.34230213408782,279
599,Mönchengladbach,41179,Nordrhein-Westfalen,51.166792,6.386164808023702,230
600,Mönchengladbach,41189,Nordrhein-Westfalen,51.1326323,6.4019336,234
601,Mönchengladbach,41199,Nordrhein-Westfalen,51.12556335,6.454620921327263,267
602,Mönchengladbach,41236,Nordrhein-Westfalen,51.16563370000001,6.449042046178166,281
603,Mönchengladbach,41238,Nordrhein-Westfalen,51.167098200000005,6.4855004685034805,178
604,Mönchengladbach,41239,Nordrhein-Westfalen,51.16632175,6.433874206692289,292
605,Monheim am Rhein,40789,Nordrhein-Westfalen,51.10290925,6.895629780527469,298
606,Monschau,52156,Nordrhein-Westfalen,50.5142656,6.221576900260956,248
607,Morsbach,51597,Nordrhein-Westfalen,50.86556045,7.725091812566968,151
608,Much,53804,Nordrhein-Westfalen,50.84367325,7.414005973361522,275
609,Mülheim an der Ruhr,45468,Nordrhein-Westfalen,51.42648300000001,6.887012223248327,266
610,Mülheim an der Ruhr,45470,Nordrhein-Westfalen,51.4076263,6.918851486924684,177
611,Mülheim an der Ruhr,45472,Nordrhein-Westfalen,51.43642989999999,6.9340688771020424,157
612,Mülheim an der Ruhr,45473,Nordrhein-Westfalen,51.44266815,6.8949094126618,188
613,Mülheim an der Ruhr,45475,Nordrhein-Westfalen,51.46938955,6.903202000000004,253
614,Mülheim an der Ruhr,45476,Nordrhein-Westfalen,51.44842885,6.849043455390688,226
