ort,plz,bundesland,latitude,longitude
Bocholt,46397,Nordrhein-Westfalen,51.87049765,6.651533892264245
Bocholt,46399,Nordrhein-Westfalen,51.87671645,6.5921759984552555
Bochum,44787,Nordrhein-Westfalen,51.48061895,7.220006291154673
Bochum,44789,Nordrhein-Westfalen,51.46809605,7.220292986881364
Bochum,44791,Nordrhein-Westfalen,51.4900436,7.248421460117719
Bochum,44793,Nordrhein-Westfalen,51.4870765,7.178170516636717
Bochum,44795,Nordrhein-Westfalen,51.45296625,7.199473259162907
Bochum,44797,Nordrhein-Westfalen,51.42450995,7.24596245576923
Bochum,44799,Nordrhein-Westfalen,51.4530228,7.2318006969296045
Bochum,44801,Nordrhein-Westfalen,51.4436028,7.274748198445252
Bochum,44803,Nordrhein-Westfalen,51.46905865,7.261967680629551
Bochum,44805,Nordrhein-Westfalen,51.512579849999995,7.276808805454064
Bochum,44807,Nordrhein-Westfalen,51.50820015,7.223999472511979
Bochum,44809,Nordrhein-Westfalen,51.5012933,7.2005636395908805
Bochum,44866,Nordrhein-Westfalen,51.4807996,7.133224873383805
Bochum,44867,Nordrhein-Westfalen,51.464434,7.132591773194216
Bochum,44869,Nordrhein-Westfalen,51.45271895,7.159453136968695
Bochum,44879,Nordrhein-Westfalen,51.42873405,7.15382484880405
Bochum,44892,Nordrhein-Westfalen,51.4700127,7.3225531667979595
Bochum,44894,Nordrhein-Westfalen,51.48692785,7.3141995805978155
Bönen,59199,Nordrhein-Westfalen,51.596473950000004,7.748472116212744
Bonn,53111,Nordrhein-Westfalen,50.74572965,7.094089165017582
Bonn,53113,Nordrhein-Westfalen,50.72411995,7.10303472765805
Bonn,53115,Nordrhein-Westfalen,50.722730299999995,7.084806177797875
Bonn,53117,Nordrhein-Westfalen,50.75466135,7.073830314544079
Bonn,53119,Nordrhein-Westfalen,50.746578,7.03889785
Bonn,53121,Nordrhein-Westfalen,50.73293545,7.0477084048786836
Bonn,53123,Nordrhein-Westfalen,50.707829200000006,7.057586916935099
Bonn,53125,Nordrhein-Westfalen,50.69757645,7.060109534916842
Bonn,53127,Nordrhein-Westfalen,50.70774215,7.090751835077281
Bonn,53129,Nordrhein-Westfalen,50.70544285,7.113838820410307
Bonn,53173,Nordrhein-Westfalen,50.69286995,7.16651340268618
Bonn,53175,Nordrhein-Westfalen,50.69135595,7.135944900000001
Bonn,53177,Nordrhein-Westfalen,50.66447545,7.1601581369737275
Bonn,53179,Nordrhein-Westfalen,50.6679249,7.184529974071248
Bonn,53225,Nordrhein-Westfalen,50.73730465,7.11673897043355
Bonn,53227,Nordrhein-Westfalen,50.723500200000004,7.15801668905573
Bonn,53229,Nordrhein-Westfalen,50.74270975,7.126742642241378
Borchen,33178,Nordrhein-Westfalen,51.64555285,8.711352442523715
Borgentreich,34434,Nordrhein-Westfalen,51.5347156,9.282035058076538
Borgholzhausen,33829,Nordrhein-Westfalen,52.08991105,8.275683329571182
Borken,46325,Nordrhein-Westfalen,51.843190899999996,6.8485346882278515
Bornheim,53332,Nordrhein-Westfalen,50.761991949999995,6.955692253144392
Bottrop,46236,Nordrhein-Westfalen,51.518644699999996,6.916444400349668
Bottrop,46238,Nordrhein-Westfalen,51.516043499999995,6.955662449961655
Bottrop,46240,Nordrhein-Westfalen,51.5445921,6.938553609286254
Bottrop,46242,Nordrhein-Westfalen,51.5259408,6.899931431653073
Bottrop,46244,Nordrhein-Westfalen,51.59724405,6.91503990103932
Brakel,33034,Nordrhein-Westfalen,51.7278151,9.188248891959038
Breckerfeld,58339,Nordrhein-Westfalen,51.26419009999999,7.414333759872971
Brilon,59929,Nordrhein-Westfalen,51.3771817,8.633370130664883
Brüggen,41379,Nordrhein-Westfalen,51.26755695,6.172218472332576
Brühl,50321,Nordrhein-Westfalen,50.820683599999995,6.894659164086724
Bünde,32257,Nordrhein-Westfalen,52.19344825,8.585596332548343
Burbach,57299,Nordrhein-Westfalen,50.74105985,8.091160228760401
Büren,33142,Nordrhein-Westfalen,51.607409849999996,8.61285174609902
Burscheid,51399,Nordrhein-Westfalen,51.0918585,7.118301685709358
Castrop-Rauxel,44575,Nordrhein-Westfalen,51.549234049999995,7.306269249999992
Castrop-Rauxel,44577,Nordrhein-Westfalen,51.52336635,7.325706070221546
Castrop-Rauxel,44579,Nordrhein-Westfalen,51.574107600000005,7.282982118427963
Castrop-Rauxel,44581,Nordrhein-Westfalen,51.58737515,7.3403617
Coesfeld,48653,Nordrhein-Westfalen,51.93823155,7.184607026209804
Dahlem,53949,Nordrhein-Westfalen,50.38913355,6.504344592266403
Datteln,45711,Nordrhein-Westfalen,51.6249174,7.288749432542032
Delbrück,33129,Nordrhein-Westfalen,51.7523428,8.55413445
Detmold,32756,Nordrhein-Westfalen,51.934457,8.851779308893104
Detmold,32758,Nordrhein-Westfalen,51.94436835,8.865178749999998
Detmold,32760,Nordrhein-Westfalen,51.91521615,8.870230741254636
Dinslaken,46535,Nordrhein-Westfalen,51.56304900000001,6.71441440000001
Dinslaken,46537,Nordrhein-Westfalen,51.572231349999996,6.734343795577017
Dinslaken,46539,Nordrhein-Westfalen,51.557705600000006,6.800096680624559
Dörentrup,32694,Nordrhein-Westfalen,52.037058099999996,9.033107094736614
Dormagen,41539,Nordrhein-Westfalen,51.10270185,6.816367469876784
Dormagen,41540,Nordrhein-Westfalen,51.07799985,6.799218705914276
Dormagen,41541,Nordrhein-Westfalen,51.135069849999994,6.823210485915388
Dormagen,41542,Nordrhein-Westfalen,51.1274148,6.783070651472858
Dorsten,46282,Nordrhein-Westfalen,51.64731095,6.971983316474758
Dorsten,46284,Nordrhein-Westfalen,51.67886665,7.015532739043445
Dorsten,46286,Nordrhein-Westfalen,51.7613007,6.955407052968814
Dortmund,44135,Nordrhein-Westfalen,51.51389575,7.477272295596865
Dortmund,44137,Nordrhein-Westfalen,51.5081641,7.447996469332642
Dortmund,44139,Nordrhein-Westfalen,51.497067200000004,7.4582355149132695
Dortmund,44141,Nordrhein-Westfalen,51.503889799999996,7.499373917685141
Dortmund,44143,Nordrhein-Westfalen,51.519669750000006,7.506569171633771
Dortmund,44145,Nordrhein-Westfalen,51.5328942,7.484637044708263
Dortmund,44147,Nordrhein-Westfalen,51.525362200000004,7.44220487598437
